16-02-2020  00%:59:50 DEBUG    [connectionpool.py : 205] Starting new HTTP connection (1): books.toscrape.com:80
16-02-2020  00%:59:50 DEBUG    [connectionpool.py : 393] http://books.toscrape.com:80 "GET /catalogue/page-17.html HTTP/1.1" 200 None
16-02-2020  00%:59:50 DEBUG    [connectionpool.py : 205] Starting new HTTP connection (1): books.toscrape.com:80
16-02-2020  00%:59:50 DEBUG    [connectionpool.py : 393] http://books.toscrape.com:80 "GET /catalogue/page-18.html HTTP/1.1" 200 None
16-02-2020  00%:59:50 DEBUG    [connectionpool.py : 205] Starting new HTTP connection (1): books.toscrape.com:80
16-02-2020  00%:59:51 DEBUG    [connectionpool.py : 393] http://books.toscrape.com:80 "GET /catalogue/page-19.html HTTP/1.1" 200 None
16-02-2020  00%:59:51 DEBUG    [connectionpool.py : 205] Starting new HTTP connection (1): books.toscrape.com:80
16-02-2020  00%:59:51 DEBUG    [connectionpool.py : 393] http://books.toscrape.com:80 "GET /catalogue/page-20.html HTTP/1.1" 200 None
16-02-2020  00%:59:51 DEBUG    [connectionpool.py : 205] Starting new HTTP connection (1): books.toscrape.com:80
16-02-2020  00%:59:52 DEBUG    [connectionpool.py : 393] http://books.toscrape.com:80 "GET /catalogue/page-21.html HTTP/1.1" 200 None
16-02-2020  00%:59:52 DEBUG    [connectionpool.py : 205] Starting new HTTP connection (1): books.toscrape.com:80
16-02-2020  00%:59:52 DEBUG    [connectionpool.py : 393] http://books.toscrape.com:80 "GET /catalogue/page-22.html HTTP/1.1" 200 None
16-02-2020  00%:59:52 DEBUG    [connectionpool.py : 205] Starting new HTTP connection (1): books.toscrape.com:80
16-02-2020  00%:59:52 DEBUG    [connectionpool.py : 393] http://books.toscrape.com:80 "GET /catalogue/page-23.html HTTP/1.1" 200 None
16-02-2020  00%:59:52 DEBUG    [connectionpool.py : 205] Starting new HTTP connection (1): books.toscrape.com:80
16-02-2020  00%:59:53 DEBUG    [connectionpool.py : 393] http://books.toscrape.com:80 "GET /catalogue/page-24.html HTTP/1.1" 200 None
16-02-2020  00%:59:53 DEBUG    [connectionpool.py : 205] Starting new HTTP connection (1): books.toscrape.com:80
16-02-2020  00%:59:53 DEBUG    [connectionpool.py : 393] http://books.toscrape.com:80 "GET /catalogue/page-25.html HTTP/1.1" 200 None
16-02-2020  00%:59:53 DEBUG    [connectionpool.py : 205] Starting new HTTP connection (1): books.toscrape.com:80
16-02-2020  00%:59:53 DEBUG    [connectionpool.py : 393] http://books.toscrape.com:80 "GET /catalogue/page-26.html HTTP/1.1" 200 None
16-02-2020  00%:59:53 DEBUG    [connectionpool.py : 205] Starting new HTTP connection (1): books.toscrape.com:80
16-02-2020  00%:59:54 DEBUG    [connectionpool.py : 393] http://books.toscrape.com:80 "GET /catalogue/page-27.html HTTP/1.1" 200 None
16-02-2020  00%:59:54 DEBUG    [connectionpool.py : 205] Starting new HTTP connection (1): books.toscrape.com:80
16-02-2020  00%:59:54 DEBUG    [connectionpool.py : 393] http://books.toscrape.com:80 "GET /catalogue/page-28.html HTTP/1.1" 200 None
16-02-2020  00%:59:54 DEBUG    [connectionpool.py : 205] Starting new HTTP connection (1): books.toscrape.com:80
16-02-2020  00%:59:54 DEBUG    [connectionpool.py : 393] http://books.toscrape.com:80 "GET /catalogue/page-29.html HTTP/1.1" 200 None
16-02-2020  00%:59:55 DEBUG    [connectionpool.py : 205] Starting new HTTP connection (1): books.toscrape.com:80
16-02-2020  00%:59:55 DEBUG    [connectionpool.py : 393] http://books.toscrape.com:80 "GET /catalogue/page-30.html HTTP/1.1" 200 None
16-02-2020  00%:59:55 DEBUG    [connectionpool.py : 205] Starting new HTTP connection (1): books.toscrape.com:80
16-02-2020  00%:59:55 DEBUG    [connectionpool.py : 393] http://books.toscrape.com:80 "GET /catalogue/page-31.html HTTP/1.1" 200 None
16-02-2020  00%:59:55 DEBUG    [connectionpool.py : 205] Starting new HTTP connection (1): books.toscrape.com:80
16-02-2020  00%:59:56 DEBUG    [connectionpool.py : 393] http://books.toscrape.com:80 "GET /catalogue/page-32.html HTTP/1.1" 200 None
16-02-2020  00%:59:56 DEBUG    [connectionpool.py : 205] Starting new HTTP connection (1): books.toscrape.com:80
16-02-2020  00%:59:56 DEBUG    [connectionpool.py : 393] http://books.toscrape.com:80 "GET /catalogue/page-33.html HTTP/1.1" 200 None
16-02-2020  00%:59:56 DEBUG    [connectionpool.py : 205] Starting new HTTP connection (1): books.toscrape.com:80
16-02-2020  00%:59:56 DEBUG    [connectionpool.py : 393] http://books.toscrape.com:80 "GET /catalogue/page-34.html HTTP/1.1" 200 None
16-02-2020  00%:59:56 DEBUG    [connectionpool.py : 205] Starting new HTTP connection (1): books.toscrape.com:80
16-02-2020  00%:59:57 DEBUG    [connectionpool.py : 393] http://books.toscrape.com:80 "GET /catalogue/page-35.html HTTP/1.1" 200 None
16-02-2020  00%:59:57 DEBUG    [connectionpool.py : 205] Starting new HTTP connection (1): books.toscrape.com:80
16-02-2020  00%:59:57 DEBUG    [connectionpool.py : 393] http://books.toscrape.com:80 "GET /catalogue/page-36.html HTTP/1.1" 200 None
16-02-2020  00%:59:57 DEBUG    [connectionpool.py : 205] Starting new HTTP connection (1): books.toscrape.com:80
16-02-2020  00%:59:57 DEBUG    [connectionpool.py : 393] http://books.toscrape.com:80 "GET /catalogue/page-37.html HTTP/1.1" 200 None
16-02-2020  00%:59:58 DEBUG    [connectionpool.py : 205] Starting new HTTP connection (1): books.toscrape.com:80
16-02-2020  00%:59:58 DEBUG    [connectionpool.py : 393] http://books.toscrape.com:80 "GET /catalogue/page-38.html HTTP/1.1" 200 None
16-02-2020  00%:59:58 DEBUG    [connectionpool.py : 205] Starting new HTTP connection (1): books.toscrape.com:80
16-02-2020  00%:59:58 DEBUG    [connectionpool.py : 393] http://books.toscrape.com:80 "GET /catalogue/page-39.html HTTP/1.1" 200 None
16-02-2020  00%:59:58 DEBUG    [connectionpool.py : 205] Starting new HTTP connection (1): books.toscrape.com:80
16-02-2020  00%:59:59 DEBUG    [connectionpool.py : 393] http://books.toscrape.com:80 "GET /catalogue/page-40.html HTTP/1.1" 200 None
16-02-2020  00%:59:59 DEBUG    [connectionpool.py : 205] Starting new HTTP connection (1): books.toscrape.com:80
16-02-2020  00%:59:59 DEBUG    [connectionpool.py : 393] http://books.toscrape.com:80 "GET /catalogue/page-41.html HTTP/1.1" 200 None
16-02-2020  00%:59:59 DEBUG    [connectionpool.py : 205] Starting new HTTP connection (1): books.toscrape.com:80
16-02-2020  00%:59:59 DEBUG    [connectionpool.py : 393] http://books.toscrape.com:80 "GET /catalogue/page-42.html HTTP/1.1" 200 None
16-02-2020  00%:59:59 DEBUG    [connectionpool.py : 205] Starting new HTTP connection (1): books.toscrape.com:80
16-02-2020  01%:00:00 DEBUG    [connectionpool.py : 393] http://books.toscrape.com:80 "GET /catalogue/page-43.html HTTP/1.1" 200 None
16-02-2020  01%:00:00 DEBUG    [connectionpool.py : 205] Starting new HTTP connection (1): books.toscrape.com:80
16-02-2020  01%:00:00 DEBUG    [connectionpool.py : 393] http://books.toscrape.com:80 "GET /catalogue/page-44.html HTTP/1.1" 200 None
16-02-2020  01%:00:00 DEBUG    [connectionpool.py : 205] Starting new HTTP connection (1): books.toscrape.com:80
16-02-2020  01%:00:13 INFO     [app.py : 13] Loading book list....
16-02-2020  01%:00:13 DEBUG    [connectionpool.py : 205] Starting new HTTP connection (1): books.toscrape.com:80
16-02-2020  01%:00:14 DEBUG    [connectionpool.py : 393] http://books.toscrape.com:80 "GET / HTTP/1.1" 200 None
16-02-2020  01%:00:14 DEBUG    [connectionpool.py : 205] Starting new HTTP connection (1): books.toscrape.com:80
16-02-2020  01%:00:14 DEBUG    [connectionpool.py : 393] http://books.toscrape.com:80 "GET /catalogue/page-2.html HTTP/1.1" 200 None
16-02-2020  01%:00:14 DEBUG    [connectionpool.py : 205] Starting new HTTP connection (1): books.toscrape.com:80
16-02-2020  01%:00:14 DEBUG    [connectionpool.py : 393] http://books.toscrape.com:80 "GET /catalogue/page-3.html HTTP/1.1" 200 None
16-02-2020  01%:00:14 DEBUG    [connectionpool.py : 205] Starting new HTTP connection (1): books.toscrape.com:80
16-02-2020  01%:00:15 DEBUG    [connectionpool.py : 393] http://books.toscrape.com:80 "GET /catalogue/page-4.html HTTP/1.1" 200 None
16-02-2020  01%:00:15 DEBUG    [connectionpool.py : 205] Starting new HTTP connection (1): books.toscrape.com:80
16-02-2020  01%:00:15 DEBUG    [connectionpool.py : 393] http://books.toscrape.com:80 "GET /catalogue/page-5.html HTTP/1.1" 200 None
16-02-2020  01%:00:15 DEBUG    [connectionpool.py : 205] Starting new HTTP connection (1): books.toscrape.com:80
16-02-2020  01%:00:16 DEBUG    [connectionpool.py : 393] http://books.toscrape.com:80 "GET /catalogue/page-6.html HTTP/1.1" 200 None
16-02-2020  01%:00:16 DEBUG    [connectionpool.py : 205] Starting new HTTP connection (1): books.toscrape.com:80
16-02-2020  01%:00:16 DEBUG    [connectionpool.py : 393] http://books.toscrape.com:80 "GET /catalogue/page-7.html HTTP/1.1" 200 None
16-02-2020  01%:00:16 DEBUG    [connectionpool.py : 205] Starting new HTTP connection (1): books.toscrape.com:80
16-02-2020  01%:00:16 DEBUG    [connectionpool.py : 393] http://books.toscrape.com:80 "GET /catalogue/page-8.html HTTP/1.1" 200 None
16-02-2020  01%:00:16 DEBUG    [connectionpool.py : 205] Starting new HTTP connection (1): books.toscrape.com:80
